Col1,Col2,Col3,Col4,Col5,Col6,Col7
Word58 Word3 Word4 Word5,12751,345.0,Word1156 Word1157,2018-02-01,Word563 Word366 Word562,NoDoc
Word273 Word61,480,2822.5,Word826 Word780,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80S+11,207.0,Word61,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word54 Word3 Word4,DCF57748,780.0,Word797 Word809 Word99 Word895 Word780,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word219 Word220 Word34 Word5,1002-1003,35539.32,Word846 Word791 Word1062 Word45 Word967 Word911,2018-02-01,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word16 Word17 Word18 Word7,1775,234.0,Word1428 Word784 Word9,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word160 Word161 Word61 Word45 Word39,843-2,336.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word96 Word3 Word4 Word5,86475,2070.0,Word123 Word190,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word40 Word41 Word4 Word5,2225,3280.0,Word802 Word278 Word1242 Word803,2018-09-30,Word567 Word582 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,3634,140.4,Word783 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word318,4468001,3176.34,Word1255 Word827,2018-08-31,Word613 Word99 Word614 Word98 Word338 Word678,Doc2
Word389 Word147 Word130,500963,966.0,,2018-01-01,Word567 Word582 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,EF398,4200.0,Word785 Word330 Word99 Word26,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word284,8075,1155.0,Word900 Word805 Word806,2018-06-30,Word563 Word580 Word581 Word232,NoDoc
Word106 Word107 Word7,81895-6,1750.0,Word969 Word791 Word967 Word717 Word967 Word911,2017-12-01,Word588 Word451 Word545,Doc1
Word74 Word75 Word44 Word5,PZX00128,-269111.58,Word840 Word841 Word842 Word843,2018-03-01,Word567 Word633 Word601 Word634,NoDoc
Word299 Word237 Word7,31603,48976.27,Word949 Word991 Word700 Word909 Word808 Word808,2018-02-01,Word571 Word52 Word657 Word681 Word371 Word13,NoDoc
Word219 Word220 Word34 Word5,1022,23737.5,Word846 Word991 Word883 Word45 Word911 Word808,2018-07-31,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word504 Word274 Word7,TQ00009127,839.03,Word1924,2017-12-01,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,DR1075,1080.0,Word125 Word966,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3260,1292.0,Word785 Word330 Word99 Word764 Word26,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201806-00045,2829197.98,Word845 Word835 Word46,2018-07-31,Word563 Word366 Word562,NoDoc
Word162 Word7,MQV21VZN18,11200.0,Word13 Word794,2018-11-30,Word567 Word582 Word107,Doc1
Word241 Word418 Word39,5311859-59,196.92,Word609,2018-08-31,Word571 Word52 Word618 Word619 Word13,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80K+11,125.0,Word877,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,659982,728.0,Word826 Word780,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,4528,609.6,Word783 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word153 Word482 Word451 Word4 Word7,79462,269.4,Word338 Word568 Word650,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word116 Word117 Word118 Word119 Word7,149229,1231.78,Word51 Word794,2018-04-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word3 Word7,70580,420.0,Word854 Word1582,2018-05-31,Word563 Word366 Word562,NoDoc
Word58 Word3 Word4 Word5,12827,460.0,Word994 Word1707,2018-03-01,Word563 Word366 Word562,NoDoc
Word116 Word117 Word118 Word119 Word7,156710,576.0,Word998 Word132 Word999,2018-11-30,Word563 Word121 Word579,NoDoc
Word24 Word22 Word4 Word5,22584,3825.0,Word562 Word26,2018-06-30,Word567 Word582 Word366 Word562,Doc1
Word30 Word31,676132,816.0,Word826 Word780,2018-09-30,Word567 Word568 Word569 Word570,Doc1
Word19 Word20 Word21 Word22 Word23 Word5,14848,48.59,Word633 Word575,2018-05-31,Word563 Word575,NoDoc
Word101 Word102 Word103 Word7,111763,2395.6,Word1130 Word931 Word802 Word2020,2018-05-31,Word576 Word366 Word562,Doc3
Word8 Word9 Word10 Word11 Word5,4.80Y+11,206.4,Word26,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,1599,280.8,Word885 Word784 Word785,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word101 Word102 Word103 Word7,111066,19660.99,Word115 Word562,2018-02-01,Word576 Word366 Word562,Doc3
Word254 Word255 Word5,3030,48000.0,Word773 Word774,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word70 Word47 Word71 Word72 Word7,282102,12485.51,Word909 Word830 Word45 Word808,2018-02-01,Word563 Word598 Word71,NoDoc
Word113 Word114 Word115 Word7,146742,736.25,Word578 Word991,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word74 Word75 Word44 Word5,LMD00128,269111.58,Word840 Word841 Word842 Word843,2016-10-01,Word563 Word600 Word601 Word602,NoDoc
Word16 Word17 Word18 Word7,2850,540.0,Word125 Word966,2018-01-01,Word563 Word580 Word581 Word232,NoDoc
Word277 Word278 Word23 Word44,53596,822.5,Word562,2018-05-31,Word563 Word366 Word562,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word563 Word587,NoDoc
Word16 Word17 Word3 Word7,71322,216.0,Word685 Word2048,2018-11-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word3 Word7,71144,360.0,Word1516 Word1444,2018-10-31,Word563 Word366 Word562,NoDoc
Word30 Word31,656797,1232.5,Word123 Word190,2018-04-30,Word563 Word580 Word581 Word232,NoDoc
Word6 Word7,10429,545.0,Word780 Word1206 Word806 Word1316,2018-05-31,Word560 Word561 Word580 Word202 Word545,Doc1
Word62 Word63 Word18 Word7,212030V,240.0,Word255 Word132 Word789 Word605,2018-02-01,Word563 Word132 Word610,NoDoc
Word215 Word3 Word4 Word39,92656094,59500.0,Word278 Word822 Word791,2018-04-01,Word567 Word582 Word583 Word584 Word585 Word586,Doc1
Word81 Word82 Word5,138501,1140.6,Word643 Word1272 Word700,2018-04-01,Word563 Word82 Word9 Word607,NoDoc
Word42 Word43 Word5,8524,2245.0,Word1283 Word1284 Word833 Word338,2018-12-31,Word560 Word561 Word366 Word562,Doc1
Word208 Word209 Word155 Word7,D41623,4825.0,Word132 Word1183 Word1323,2018-02-01,Word565 Word566,NoDoc
Word16 Word17 Word3 Word7,70800,259.8,Word837 Word705 Word706,2018-06-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,2232,1249.2,Word1430 Word784 Word785,2018-01-01,Word567 Word568 Word569 Word570,Doc1
Word151 Word152 Word22 Word13 Word7,H50214,24800.0,Word779 Word258 Word295,2018-04-30,Word567 Word582 Word366 Word562,Doc1
Word44 Word45 Word46,201805-00053-UA0,2570126.23,Word834 Word835 Word46,2018-06-30,Word563 Word580 Word581 Word232,NoDoc
Word139 Word3 Word4 Word7,15842,9144.84,Word1065 Word550 Word1066,2018-06-30,Word563 Word174,NoDoc
Word33 Word34 Word35 Word7,108644-891,7430.28,Word562,2018-05-31,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,4253,225.0,Word975 Word976,2018-03-01,Word563 Word132 Word610,NoDoc
Word42 Word43 Word5,8517,570.0,Word1283 Word1284,2018-10-31,Word563 Word366 Word562,NoDoc
Word44 Word45 Word46,201806-00045,2829197.98,Word845 Word835 Word46,2018-07-31,Word563 Word580 Word581 Word232,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,70284,210.0,Word1178 Word1426,2018-04-30,Word563 Word366 Word562,NoDoc
Word156 Word157 Word7,1573512,1085.94,Word633 Word575,2017-12-01,Word563 Word575,NoDoc
Word47 Word444 Word292 Word372,DMDLKT100818,50.0,Word1746 Word659,2018-10-31,Word647 Word648 Word649,NoDoc
Word6 Word7,10767,2920.0,Word1144 Word1206 Word1279,2018-08-31,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,WH109,900.0,Word255 Word791,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80Y+11,1965.1,Word779 Word258 Word780,2017-12-01,Word567 Word568 Word569 Word570,Doc1
Word30 Word31,643237,1960.0,,2018-01-01,Word567 Word569 Word570,Doc1
Word33 Word34 Word35 Word7,108644-1267,3684.45,Word562,2018-10-31,Word563 Word366 Word56 Word4,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80P+11,178.45,Word564 Word9 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word96 Word3 Word4 Word5,78643,135.0,Word123 Word190,2018-06-30,Word563 Word132 Word610,NoDoc
Word113 Word114 Word115 Word7,150942,10436.25,Word578 Word794,2018-09-30,Word560 Word561 Word612,Doc1
Word96 Word3 Word4 Word5,71281,1530.0,Word1053 Word287 Word764 Word780,2018-04-01,Word563 Word132 Word610,NoDoc
Word58 Word3 Word4 Word5,13261,607.5,Word1689 Word876 Word1146 Word1761,2018-08-31,Word567 Word582 Word366 Word562,Doc1
Word16 Word17 Word3 Word7,70569,1046.0,Word848 Word849,2018-05-31,Word563 Word366 Word562,NoDoc
Word433 Word434 Word39,QK8203-YY,11578.75,Word1128 Word1745 Word371 Word846,2018-04-01,Word571 Word52 Word657 Word681 Word371 Word13,NoDoc
Word16 Word17 Word18 Word7,2457,842.4,Word787 Word784 Word785,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,70599,315.0,Word876 Word1418 Word1419,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80F+11,51.6,Word61,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,4459,1329.6,Word783 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,71292,756.0,Word562,2018-10-31,Word563 Word366 Word562,NoDoc
Word38 Word4 Word39,41487218,3750.0,Word792 Word1173 Word985 Word659,2018-03-01,Word563 Word121 Word579,NoDoc
Word16 Word17 Word18 Word7,1798,432.0,Word338 Word330 Word99 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word129 Word130 Word5,T-0025,1600.0,Word569 Word338,2018-11-30,Word567 Word568 Word569 Word570,Doc1
Word151 Word152 Word22 Word13 Word7,C51415,3000.0,Word13 Word842 Word866 Word842 Word717,2018-10-31,Word567 Word582 Word107,Doc1
Word54 Word3 Word4,IFR69883,420.0,Word123 Word190 Word26,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80X+11,55.9,Word9 Word26,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word463,9503808620,2663.69,Word1817 Word1818,2018-03-01,Word613 Word99 Word614 Word644 Word751,Doc2
Word33 Word34 Word35 Word7,108644-555,4557.7,Word562,2018-03-01,Word563 Word366 Word56 Word4,NoDoc
Word16 Word17 Word18 Word7,3809,216.0,Word885 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,71564,499.5,Word204 Word798,2018-08-31,Word563 Word366 Word562,NoDoc
Word122 Word123 Word21 Word124 Word5,TIP19880,20790.0,Word935 Word26,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-721,1286.88,Word193 Word1361 Word45 Word1190 Word700 Word700,2018-03-01,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,OL124,8820.0,Word1006 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,71353,216.0,Word1001 Word1920 Word1426,2018-10-31,Word563 Word366 Word562,NoDoc
Word175 Word176 Word5,I-1203,12833.33,Word202,2018-07-31,Word567 Word582 Word583 Word584 Word585 Word586,Doc1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65964,634.0,Word854 Word1582,2018-03-01,Word563 Word366 Word562,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80C+11,447.2,Word948 Word26,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,2085,152.1,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80Z+11,60.0,Word61,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80R+11,111.8,Word330 Word99 Word780,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-1310,5338.8,Word2021 Word1086 Word808 Word1086 Word882,2018-10-31,Word563 Word366 Word56 Word4,NoDoc
Word33 Word34 Word35 Word7,108644-1360,4557.96,Word602 Word2080 Word694 Word160 Word694 Word1094,2018-10-31,Word563 Word366 Word56 Word4,NoDoc
Word16 Word17 Word18 Word7,6650,140.4,Word785 Word650,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,2973,432.0,Word924 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word212 Word213 Word214 Word125 Word119 Word39,74507,3357.5,Word1018 Word809,2018-02-01,Word613 Word99 Word614 Word366 Word562,Doc2
Word286 Word287 Word288 Word39,51418051024V,580.0,Word132 Word1183 Word1323,2018-08-31,Word560 Word561 Word612,Doc1
Word463,9503607517,77689.88,Word2085 Word593,2017-12-01,Word565 Word566,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65974,262.52,Word899 Word805 Word605,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word272 Word29 Word5,SF-2018044,2625.0,Word130,2018-03-01,Word560 Word561 Word593 Word578 Word65,Doc1
Word8 Word9 Word10 Word11 Word5,4.80U+11,2003.8,Word330 Word99 Word780,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word376 Word377 Word44,100060679,15000.0,Word13 Word791,2018-11-30,Word567 Word582 Word107,Doc1
Word149 Word150,ISYRKREMY021318,772.56,Word613 Word781 Word1810,2018-02-01,Word571 Word52 Word594 Word641,NoDoc
Word134 Word61 Word45 Word39,HNSSFY 2018 HSKBOFNE,37930.95,Word1733 Word784 Word689 Word780,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word40 Word41 Word4 Word5,1863,4500.0,Word802 Word1237 Word888,2018-07-31,Word567 Word582 Word366 Word562,Doc1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,70143,210.0,Word1595 Word1783 Word1784,2018-04-30,Word563 Word580 Word581 Word232,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80S+11,51.6,Word783 Word784 Word929,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,4136,1798.8,Word942 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word134 Word61 Word45 Word39,1080-1,130.0,Word826 Word780,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3139,842.4,Word785 Word330 Word99 Word764 Word61,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,ZB1015,540.0,Word959 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word90 Word91 Word92 Word7,111692.2,42363.2,Word582 Word791,2018-06-30,Word567 Word41 Word319,Doc1
Word177 Word178 Word147 Word7,288FXN,1480.0,Word562 Word592,2018-09-30,Word576 Word705 Word706,Doc3
Word58 Word3 Word4 Word5,13357,1650.0,Word1704 Word1080 Word202,2018-09-30,Word567 Word582 Word580 Word202 Word545,Doc1
Word16 Word17 Word3 Word7,71223,216.0,Word1265 Word1312 Word1313,2018-11-30,Word563 Word366 Word562,NoDoc
Word273 Word61,479,1535.0,Word826 Word780,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64752,52.52,Word1258 Word945,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,IH1107,2520.0,Word884 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word148 Word75 Word5,NRR25205,27000.0,Word657 Word160 Word45 Word160 Word1094 Word1978,2018-09-30,Word52 Word330 Word566,NoDoc
Word16 Word17 Word18 Word7,2472,180.0,Word132 Word610,2018-02-01,Word563 Word132 Word610,NoDoc
Word54 Word3 Word4,MNF53710,337.5,Word797 Word190 Word99 Word602,2018-01-01,Word563 Word132 Word610,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65186,315.0,Word1335 Word1551 Word995 Word799 Word1646,2018-01-01,Word563 Word580 Word581 Word232,NoDoc
Word44 Word45 Word46,201805-00053-WS0,2570126.23,Word834 Word835 Word46,2018-06-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word3 Word7,70921,240.0,Word824 Word789 Word810,2018-06-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,2597,1080.0,Word1013,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80U+11,7650.0,Word577 Word1376 Word170,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word113 Word114 Word115 Word7,150490,4230.0,Word875 Word99 Word895,2018-09-30,Word560 Word561 Word366 Word562,Doc1
Word48 Word3 Word4 Word5,HW20181546,48.0,Word1028 Word9,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word166 Word5,1481,1275.0,Word123 Word190,2018-11-30,Word563 Word132 Word610,NoDoc
Word134 Word61 Word45 Word39,1143-2,25.0,Word569 Word1086 Word1190 Word842 Word1104,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word116 Word117 Word118 Word119 Word7,153746,581.79,Word562,2018-11-30,Word563 Word366 Word562,NoDoc
Word44 Word45 Word46,201806-00045,2829197.98,Word845 Word835 Word46,2018-07-31,Word288 Word626 Word627,NoDoc
Word113 Word114 Word115 Word7,143235,1828.75,Word578,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word3 Word7,71932,180.02,Word1754 Word797 Word190 Word798 Word799,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word134 Word61 Word45 Word39,OAC2018GRQOXKDK,32088.15,Word689 Word26,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word388 Word4,WUV0191,7255.79,Word292 Word791,2018-09-30,Word563 Word619,NoDoc
Word106 Word107 Word7,81905-6,3050.0,Word969 Word791 Word967 Word717 Word967 Word911,2017-12-01,Word588 Word451 Word545,Doc1
Word42 Word43 Word5,7765,435.0,Word804 Word805 Word806,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word59 Word60 Word61 Word5,1275,264.0,Word1033 Word785,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80W+11,60.0,Word1028,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,13973,581.39,Word575 Word868,2018-04-30,Word563 Word575,NoDoc
Word122 Word123 Word21 Word124 Word5,ZIE21976,10800.0,Word826 Word785,2018-10-31,Word567 Word568 Word569 Word570,Doc1
Word8 Word9 Word10 Word11 Word5,4.80P+11,498.8,Word61,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word160 Word161 Word61 Word45 Word39,1028-1,130.0,Word61,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word151 Word152 Word22 Word13 Word7,R51819,5041.0,Word13 Word791,2018-11-30,Word567 Word582 Word107,Doc1
Word16 Word17 Word3 Word7,71819,350.73,Word837 Word864 Word1326,2018-10-31,Word563 Word366 Word562,NoDoc
Word116 Word117 Word118 Word119 Word7,149584,971.0,Word562,2018-04-01,Word563 Word580 Word581 Word232,NoDoc
Word42 Word43 Word5,8457,355.0,Word867 Word849,2018-10-31,Word560 Word561 Word366 Word562,Doc1
Word8 Word9 Word10 Word11 Word5,4.80F+11,150.0,Word61,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80R+11,2184.4,Word61,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word54 Word3 Word4,SHB59432,406.0,Word123 Word190,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,RQ799,720.0,Word1100 Word1072,2018-08-31,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,HJ774,2520.0,Word61,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word261 Word262,121279,204.75,Word330 Word99 Word26,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word78 Word79 Word11 Word5,G121417-21,96.0,Word885 Word784 Word568 Word650,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word106 Word107 Word7,82685-9,7320.0,Word118 Word791,2018-06-30,Word563 Word366 Word562,NoDoc
Word116 Word117 Word118 Word119 Word7,152766,576.0,Word51 Word791 Word562,2018-06-30,Word563 Word580 Word581 Word232,NoDoc
Word27 Word28 Word29 Word5,1064357,4086.89,Word130,2018-05-31,Word576 Word130 Word577 Word578,Doc3
Word8 Word9 Word10 Word11 Word5,4.80K+11,516.0,Word330 Word99 Word764 Word26,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word208 Word209 Word155 Word7,E45190,432.0,Word1457 Word1170,2018-04-30,Word567 Word568 Word569 Word570,Doc1
Word30 Word31,668480,48.0,Word826 Word780,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,AS1414,2520.0,Word884 Word784,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,MP1295,2520.0,Word61,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word179 Word180 Word181 Word182,FHREY080118-HQD,-44473.31,Word979 Word836 Word980 Word45 Word981 Word808,2018-08-31,Word571 Word52 Word594 Word696,NoDoc
Word120 Word121 Word31,44812,6007.88,Word1484 Word856,2018-07-31,Word563 Word121 Word579,NoDoc
Word16 Word17 Word18 Word7,XI1470,225.0,Word125 Word966,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word48 Word3 Word4 Word5,HE20183936,492.0,Word1028 Word9 Word877,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3946,108.0,Word783 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,677912,278.0,Word123 Word809 Word26,2018-10-31,Word563 Word366 Word562,NoDoc
Word41 Word49 Word7,3416,16105.0,Word777 Word969 Word794 Word909 Word717 Word981,2018-01-01,Word567 Word582 Word107,Doc1
Word8 Word9 Word10 Word11 Word5,4.80J+11,60.0,Word330 Word99 Word780,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64532,445.0,Word1613 Word636 Word1614,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word156 Word157 Word7,1573284,8527.32,Word633 Word575,2017-12-01,Word588 Word576 Word750 Word451 Word545,Doc1
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word563 Word132 Word610,NoDoc
Word6 Word7,10719,1092.5,Word711 Word773 Word774,2018-08-31,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,3372,1281.6,Word787 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80Q+11,300.0,Word61,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word179 Word180 Word181 Word182,XSEVF070218,28507.05,Word979 Word1005 Word883 Word45 Word831 Word808,2018-07-31,Word571 Word52 Word594 Word641,NoDoc
Word70 Word47 Word71 Word72 Word7,284754,12368.79,Word700 Word808 Word865 Word808,2018-03-01,Word563 Word598 Word71,NoDoc
Word16 Word17 Word3 Word7,70754,240.0,Word562,2018-06-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,2458,1701.7,,2018-01-01,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word18 Word7,EI1274,51248.4,Word826 Word785,2018-10-31,Word567 Word568 Word569 Word570,Doc1
Word261 Word262,113296,56.25,Word60 Word99 Word780,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,71828,185.0,Word798 Word214 Word1268,2018-09-30,Word563 Word366 Word562,NoDoc
Word195 Word5,HH142987,5454.4,Word1486 Word562,2018-07-31,Word563 Word366 Word56 Word4,NoDoc
Word414 Word5,UQE242517,50584.25,Word1098 Word1577,2018-08-31,Word571 Word52 Word457 Word253 Word732,NoDoc
Word48 Word3 Word4 Word5,XU20183493,7444.0,Word132 Word878 Word642,2018-10-31,Word52 Word330 Word566,NoDoc
Word38 Word4 Word39,41478908,4100.0,Word121 Word791,2018-02-01,Word563 Word121 Word579,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64769,52.52,Word562 Word1569 Word789 Word1386,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word144 Word437,VPSSRFWUW032818,434.01,Word613 Word781 Word1186,2018-03-01,Word571 Word52 Word594 Word624 Word21 Word625,NoDoc
Word96 Word3 Word4 Word5,64186,180.0,Word132 Word255,2018-02-01,Word563 Word132 Word610,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,11180,424.12,Word633 Word575,2017-12-01,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,TU1304,2520.0,Word926 Word784 Word785,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word54 Word3 Word4,KEW52242,1350.0,,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word563 Word676,NoDoc
Word33 Word34 Word35 Word7,108644-1355,6874.08,Word1619 Word602 Word940 Word694 Word160 Word694 Word1094,2018-10-31,Word563 Word366 Word56 Word4,NoDoc
Word16 Word17 Word18 Word7,3276,1123.2,Word785 Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,19036,253.74,Word575 Word996 Word997 Word20,2018-10-31,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,WU1414,2520.0,Word884 Word784,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word257 Word258 Word259 Word5,180517-12517,27300.0,Word1347 Word856,2018-06-30,Word567 Word582 Word580 Word202 Word545,Doc1
Word30 Word31,676728,48.0,Word26 Word569,2018-10-31,Word567 Word568 Word569 Word570,Doc1
Word42 Word43 Word5,8235,630.0,Word1120 Word355 Word806,2018-07-31,Word563 Word580 Word581 Word232,NoDoc
Word33 Word34 Word35 Word7,108644-831,4557.96,Word562,2018-05-31,Word563 Word366 Word56 Word4,NoDoc
Word116 Word117 Word118 Word119 Word7,154523,576.0,Word51 Word794 Word562,2018-11-30,Word563 Word580 Word581 Word232,NoDoc
Word113 Word114 Word115 Word7,148521,190.0,Word578 Word791,2018-09-30,Word560 Word611 Word366 Word562,Doc1
